[266, 209]
[55, 357]
[225, 45]
[311, 252]
[470, 41]
[240, 295]
[355, 354]
[470, 215]
[67, 250]
[503, 196]
[43, 32]
[417, 248]
[440, 37]
[42, 46]
[43, 333]
[467, 153]
[481, 71]
[286, 331]
[277, 322]
[322, 44]
[580, 251]
[181, 42]
[235, 266]
[430, 66]
[236, 326]
[243, 322]
[590, 61]
[591, 326]
[591, 363]
[31, 206]
[586, 234]
[36, 200]
[443, 275]
[471, 227]
[111, 266]
[493, 265]
[554, 143]
[371, 220]
[493, 209]
[170, 261]
[175, 150]
[240, 352]
[519, 48]
[60, 156]
[606, 144]
[57, 193]
[585, 341]
[171, 247]
[49, 245]
[277, 153]
[140, 264]
[423, 209]
[42, 211]
[48, 113]
[53, 311]
[94, 249]
[153, 280]
[162, 167]
[167, 102]
[167, 281]
[221, 245]
[249, 367]
[277, 360]
[277, 260]
[286, 215]
[288, 135]
[296, 367]
[308, 266]
[372, 171]
[383, 368]
[390, 275]
[419, 196]
[434, 356]
[485, 135]
[505, 65]
[560, 280]
[593, 32]
[36, 57]
[42, 171]
[80, 365]
[167, 162]
[214, 57]
[296, 29]
[471, 235]
[486, 123]
[48, 203]
[186, 24]
[248, 317]
[283, 187]
[355, 28]
[412, 25]
[441, 64]
[491, 276]
[592, 228]
[104, 274]
[114, 274]
[141, 27]
[260, 292]
[385, 175]
[410, 310]
[451, 275]
[170, 269]
[256, 217]
[280, 248]
[395, 251]
[448, 59]
[478, 225]
[548, 149]
[562, 265]
[72, 50]
[367, 227]
[394, 354]
[427, 184]
[595, 52]
[23, 227]
[241, 247]
[450, 94]
[457, 91]
[490, 216]
[500, 269]
[561, 148]
[24, 66]
[28, 308]
[255, 130]
[344, 355]
[399, 264]
[424, 34]
[512, 154]
[563, 337]
[571, 273]
[581, 149]
[600, 353]
[55, 161]
[576, 356]
[601, 149]
[65, 304]
[123, 272]
[262, 357]
[271, 214]
[312, 356]
[377, 223]
[438, 168]
[507, 103]
[54, 48]
[151, 86]
[152, 35]
[186, 268]
[260, 313]
[364, 34]
[466, 52]
[524, 52]
[606, 53]
[607, 355]
[607, 236]
[304, 190]
[465, 95]
[613, 316]
[38, 68]
[43, 74]
[472, 101]
[471, 281]
[217, 26]
[372, 48]
[283, 232]
[43, 250]
[105, 67]
[546, 294]
[420, 372]
[122, 261]
[316, 50]
[539, 42]
[236, 228]
[309, 42]
[79, 76]
[464, 183]
[37, 143]
[429, 323]
[441, 146]
[140, 255]
